Codigo;Razon Social;Sucursal;Direccion Fiscal;Nro de RIF;Persona Contacto;Telefono;Direccion de Recolecta;Estatus;Email;Tarifa;Mod. Pago;F. Ult. Guia;
GN1324;FLORENCIO JESUS RODRIGUEZ VILLAROEL;CCS;N/A;V-11.309.651;N/A;0212-3342944 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1331;DANIEL RAMIREZ;CCS;N/A;V-13.476.572;N/A;0212-3723091 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1345;SABRINA JESMAR RODRIGUEZ TOVAR;CCS;N/A;V-14.500.819;N/A;0212-9632987 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1346;PEDRO DANIEL SALAZAR;CCS;N/A;V-11.231.677;N/A;0212-573.1704 / 9036256 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1358;JOSE LUIS DA MOTTA;CCS;N/A;V-6.261.815;N/A;0212-237.8653 / 9530696 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1360;DANIEL HUMBERTO GONZALEZ AGUIAR;CCS;N/A;V-15.457.180;N/A;0412-3786246;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1366;GABRIELA DEL VALLE RIBAS PONTE;CCS;N/A;V-14.680.170;N/A;0412-2643232;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1367;FRANCISCO JAVIER GUTIERREZ DE LEON;CCS;N/A;V-15.664.069;N/A;0212-2433272 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1388;ALBERTO  ETIENNE FARIÑAS;CCS;N/A;V-15.963.742;N/A;0243-2414128;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1390;EUBLIS DAMASIO CARREÑO AGUERO;CCS;N/A;V-11.260.069;N/A;0416-6240006;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1412;GIORGIO ROTA;CCS;N/A;V-10.568.175;N/A;;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1413;FELIX RAMON GUERRA;CCS;N/A;V-16.808.848;N/A;0414-097.6832 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1418;AMARILIS ALEXA MENDEZ;CCS;N/A;V-10.967.172;N/A;0212-5012393 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1420;DANY GREGORIO;CCS;N/A;V-5.515.077;N/A;0212-577.56.57 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1429;BEATRIZ GONZALEZ;CCS;N/A;V-6.141.465;N/A;0212-3811158 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1447;FREDDY JESUS MACHADO IRAGORRY;CCS;N/A;V-4.682.146;N/A;0212-6936065;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1453;MARCOS ANTONIO MENDEZ HERNANDEZ;CCS;N/A;V-15.725;N/A;0212-2435114 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1458;CHRISTOPHER PEREZ BAUTISTA;CCS;N/A;V-17.965.110;N/A;0212-4822557 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1459;JOSE LUIS OBANDO NARVAEZ;CCS;N/A;V-16.931.451;N/A;0424-8262012 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1463;ALEJANDRO ANDRES LIRA GALINDO;CCS;N/A;V-16.374.509;N/A;0212-6936065 / 51.53;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1483;CAMPO ELIAS RIOS SANCHEZ;CCS;N/A;V-18.257.377;N/A;0416-971.85.58 / 341.24.85;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1488;LUIS HENRIQUE COSTERO HERRERA;VLN;N/A;V-13.667.313;N/A;0241-8483509;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1492;ROBERTO CARLOS PERDOMO MANCEDO;CCS;N/A;V-16.269.530;N/A;0412-9652585;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1494;ANTHONY JESUS ALEN  VELASQUEZ;CCS;N/A;V-17.212.215;N/A;0293-4332542 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1497;NELSON ASCENSION DE JESUS DOS PASOS;CCS;N/A;V-12.448.845;N/A;0255-6213232 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1504;ABELARDO JOSE ESAA;CCS;N/A;V-4.084.730;N/A;0212-241.7925 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1506;JORGE ALEJANDRO LEON BETANCOURT;CCS;N/A;V-9.704.315;N/A;0212-2428270 / 2430497;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1513;MAIGRET S. RODRIGUEZ;CCS;N/A;V-9.234.260;N/A;0212-5004874 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1522;WALTER RUIZ TOVAR;CCS;N/A;V-6.443.175;N/A;0212-2518570;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1532;GUSTAVO GERARDO CASTRO MORALES;CCS;N/A;V-14.775.590;N/A;0212-2574825/ 0416-1136730;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1536;MICHELLE ANGELLE SANDOVAL CEDEÑO;CCS;N/A;V-16.894.312;N/A;0212-3475390 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1537;VICTOR GERONIMO CARRILLO LABRADOR;CCS;N/A;V-14.547.050;N/A;0212-9538580 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1540;ABELARDO CHAYEB;CCS;N/A;V-11.424.367;N/A;0281-2688751 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1542;LOURDES CAROLINA MARTINEZ DE BORGES;CCS;N/A;V-10.345.482;N/A;0416-4077692 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1546;MAURO PICCOLI BUSTAMANTE;CCS;N/A;V-14-199.543;N/A;0212-9513341 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1549;ANDREINA COROMOTO HERNANDEZ ATENCIO;CCS;N/A;V-14.684.534;N/A;0424-3029042 / 0412-37609;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1552;JUAN CARLOS MARQUEZ;CCS;N/A;V-6.955.591;N/A;0426-9915572 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-05-02;
GN1554;TEBIE MARIA HORNUNG LEONI;CCS;N/A;V-10.178.474;N/A;0416-6225391;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1559;MIGUEL A. COSTERO;CCS;N/A;V-7.093.738;N/A;0424-4032883;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1566;ALEJANDRO DE LA CRUZ GARCIA MENDOZA;CCS;N/A;V-11.028.938;N/A;0212-238/6603;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1570;CARLOS DE SOUSA DA CORTE;CCS;N/A;V-12.716.260;N/A;0212-3311792 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-02-10;
GN1576;MOJAMAD HAMMAL;CCS;N/A;V-20.299.373;N/A;0286-9321659;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1577;ANA BAVARESCO;CCS;N/A;V-3.322.493;N/A;0251-2559646;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1578;DANIEL YAMOUR;CCS;N/A;V-17.569.976;N/A;0414-4448077 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1590;ROSMERY CAROLINA RODRIGUEZ LOPEZ;CCS;N/A;V-16.656.643;N/A;0274-2212209 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1604;GUILLERMO MENDOZA;CCS;N/A;V-18.184.295;N/A;0286-9224765;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1612;JEANS CARLOS ARIZA ARIZA;CCS;N/A;V-15.574.714;N/A;0212-4005283 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1616;ANTONIETA  JOSEFINA LOBO REJON;CCS;N/A;V-13.422.489;N/A;0212-5001014 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1617;ADOLFO JOSE LA ROCHE MANDOZA;CCS;N/A;V-14.720.381;N/A;0212-5744237 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1620;FUNINDES USB;CCS;N/A;J-00253433-8;N/A;0416-6321707;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1622;HERNAN NEGRETTE;CCS;N/A;V-2.766.266;N/A;0212-941.8848 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1644;MELVI RIVAS  Y/O JASMIN GOMEZ;CCS;N/A;V-11.736.078;N/A;0212-9772171;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN165;RENE FIGUEROA;CCS;N/A;V-14.003.532;N/A;0251-2514303 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1650;LUIS MEZA;CCS;N/A;V-15.493.152;N/A;0416-5502559 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1653;MARIELVIA. A PEREZ C.;CCS;N/A;V-15.933.297;N/A;0293-4319120 / 04148214716;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1654;JOSE LUIS TREVIZON BEDOYA;CCS;N/A;V-14.631.498;N/A;0414-6782058;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1655;JULIO CESAR CONTRERAS LOPEZ;CCS;N/A;V-16.572.059;N/A;;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1657;JESUS MATTEY;CCS;N/A;V-17.360.529;N/A;0414-800.7100;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1659;MARCOS RAMON OVALLES MENDOZA;CCS;N/A;V-12.337.021;N/A;0212-2350091 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1662;HECTOR JOSE BELLO CORREA;CCS;N/A;V-13.067.748;N/A;0416-8042807 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1664;OSWALDO FEO;CCS;N/A;V-16.582.098;N/A;0424-4073206;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1671;YOLANDA HIDALGO PARISCA;CCS;N/A;V-3.662.324;N/A;0212-2859098;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1679;PABLO ANTONIO CARABALLO COLL;CCS;N/A;V-4.299.801;N/A;0414-8403147;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1704;ANDREA CRISTINA DA SILVA FERREIRA;CCS;N/A;V-17.148.354;N/A;0212-2424684;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-01-22;
GN1725;TONY ABELINO IGUARO CARRASQUEL;CCS;N/A;V-14.560.531;N/A;0212-4516885 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1726;DARIO J. NOVOA VERGARA;CCS;N/A;V-15.516.207;N/A;0274/ 6352222 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1751;JORGE  AUGUSTO DAVILA JONES;CCS;N/A;V-10.374.020;N/A;0212-2833759 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN176;RICARDO SILVESTRI;CCS;N/A;V-10.473.125;N/A;0412-9542457;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1761;DANIEL MONTES URIA;CCS;N/A;V-11.058.188;N/A;0424-6220493;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1763;JANIS MIGUEL MOUREZUT;CCS;N/A;V-16.056.956;N/A;416,71;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1770;VERIOSHKA GRISKA NELLA ROSALES ECHENIQUE;CCS;N/A;V-13.802.230;N/A;0212-5012536 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1771;CARLOS MANUEL GALINDO MOYETONES;CCS;N/A;V-18.441.087;N/A;0212-5013290 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-02-11;
GN1772;ROBIN BORGES;CCS;N/A;V-11.461.770;N/A;0212-5045538 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1773;ANTONIO FRANCO;CCS;N/A;V-12.254.105;N/A;0281-2810048;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1774;LUIS MOQUEDA;CCS;N/A;V-8.294.148;N/A;0414-7960280;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1775;OMAR BOGADI;CCS;N/A;V-16.357.149;N/A;0416-3832542 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1780;JORGE CHAIEB CHAIEB;CCS;N/A;V-8.348.973;N/A;0281-2672832 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1782;TANIA LIBERTAD ARISMENDI GOMEZ;CCS;N/A;V-12.402.592;N/A;0212-2579047 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1783;OSCAR ALEJANDRO CASTILLO DELGADO;CCS;N/A;V-15.740.233;N/A;0293-431.58.38 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1791;JOSMAR EDUARDO AVERIANO CASTILLO;CCS;N/A;V-13.492.479;N/A;0412-4330754;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1796;FRANCISCO MORALES;CCS;N/A;V-12.786.468;N/A;;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1803;ALBA MILEYDI HERNANDEZ HURTADO;CCS;N/A;V-4.850.483;N/A;0212-2323747 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1807;JAIME ENRIQUE GONZALEZ VILLALOBOS;CCS;N/A;V-14.986.208;N/A;0286-922.91.34 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1810;MAGDALY SANCHEZ ARANGUREN;CCS;N/A;V-7.976.725;N/A;0212-2018585 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1813;AQUILES FENIX DEMIAN RANGEL  MARCANO;CCS;N/A;V-11.062.006;N/A;0212-8064504 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1825;FRAIVAN MARIN;CCS;N/A;V-14.494.151;N/A;0212-3443514 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1829;JOHAN ELIAS PEREZ RODRIGUEZ;CCS;N/A;V-11.752.659;N/A;0412-4032462;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1838;OSCAR JOSE COLLADO MEDINA;CCS;N/A;V-15.732.222;N/A;0414-580828;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1848;DANIEL VICARIO;CCS;N/A;V-14.351.311;N/A;0212-2425661 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1852;JESUS ENEO TRAVAGLINI GONZALEZ;CCS;N/A;V-16.685.010;N/A;0243-2379429;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1853;ALKIN DAVID ACUÑA GARCIA;VLN;N/A;12971241;N/A;0241-8251734 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1854;AMANDA SEGOVIA  AVILA;CCS;N/A;V-7.549.582;N/A;0212-5012581 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1859;ELIAS DELGADO;CCS;N/A;V-4.275.244;N/A;0212-9793835;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1867;DANIEL NOVOA LANDAETA;CCS;N/A;V-14.689.958;N/A;0212-5753230 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-04-12;
GN1869;JOSE STALIN SALAS RODRIGUEZ;CCS;N/A;V-12.508.247;N/A;0212-3622451 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1871;ROMER CASANOVA;CCS;N/A;V-14.037.411;N/A;0416-720.4525;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1878;RAFAEL ENRIQUE CASTRO GUDINO;CCS;N/A;V-10.867.575;N/A;0212-3416464;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1879;ALEJANDRO E.  ALEXANDRER;CCS;N/A;V-17.610.676;N/A;0212-6901691 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1880;CESAR PEREZ PULIDO;CCS;N/A;V-10.849.977;N/A;0212-9761537;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1883;OMAR  BUSTILLOS PONTE;CCS;N/A;V-11.240.166;N/A;0281-2652987;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1888;HENRY JOSE MATA LINDO;CCS;N/A;V-13.994.072;N/A;0286-9518244 /0416-4928640;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1893;BORIS MISAEL MIJARES;CCS;N/A;V-9.958.234;N/A;0212-2808978 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1905;LEONARDO DI FRANCESCO;CCS;N/A;V-17.382.792;N/A;0414-8936331;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1910;BARTOLOME GAROFALO;CCS;N/A;V-13.265.214;N/A;0414-5235807;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1911;WILFREDO ANTONIO PRIETO;CCS;N/A;V-7.952.609;N/A;0212-279.5532/577.7922/041;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1912;ELEAZAR ESCALONA BRACHO;CCS;N/A;V-11.990.992;N/A;0212--4617004 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1913;MIGUEL ARTURO ARMAS;CCS;N/A;V-11.482.599;N/A;0212-363.2565/0412-714.022;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1918;LUIS AUGUSTO RODRIGUEZ;CCS;N/A;V-16.077.106;N/A;0414-973.4121/0414-588.342;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1923;ALEXANDER ANTONIO UREÑA LUGO;CCS;N/A;V-13.146.534;N/A;0261-8142825/ 0412-9680179;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1931;VICTOR   RAFAEL VILLANUEVA PAIVA;CCS;N/A;V-16.462.103;N/A;0212-5521831 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1938;ANTONIETA DEL CARMEN DIAZ;CCS;N/A;V-10.754.046;N/A;0212-957.9810/0412-452.679;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1944;OSWALDO ANTONIO COSTERO HERRERA;VLN;N/A;7045732;N/A;0241-8483509/ 0412-7487742;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1948;MARCOS ALEJANDRO RAMIREZ FLORES;CCS;N/A;V-16.246.692;N/A;0212-8613441;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1962;OSCAR RAMON TRAVIESO;CCS;N/A;V-6.558.249;N/A;0212-265.5990/0412-206.038;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1979;DARWIN JOSE SILVA NOGUERA;CCS;N/A;V-18.010.145;N/A;0212-5502096;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1985;IVAN ERNESTO RAVELO CASTILLO;CCS;N/A;V-8.761.815;N/A;0212-7618889 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1986;MARCOS  DANIEL  MARIN  HERNANDEZ;CCS;N/A;V-14.494.152;N/A;0416-8100424;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1991;HECTOR XAVIER MARTINEZ M.;CCS;N/A;V-12.957.049;N/A;0416-4407524;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1994;ANGEL JOSE RAMIREZ TORRES;CCS;N/A;V-13.981.632;N/A;0283-2302754/ 0416-8863977;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1995;EDGAR ALEXANDER ALVAREZ PERDOMO;CCS;N/A;V-12.375.287;N/A;0212-8719646 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN1999;CLAUDIO MIGUEL APONTE;CCS;N/A;V-13.126.098;N/A;0212-243.5545/0416-842.507;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2001;EDGAR ALEJANDRO AZUAJE MENA;CCS;N/A;V-9.415.976;N/A;0414-2821295;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2007;ALMER JOSE BOLIVAR RODRIGUEZ;CCS;N/A;V-14.691.157;N/A;0543-2344951;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2011;CRIVALDO SANDOVAL;CCS;N/A;V-11.555.866;N/A;0212-955.3496/0416-8316336;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2020;VINCENZO  SIRACUSA;CCS;N/A;V-7.251.555;N/A;0241-8580665/ 0414-4332817;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2021;YALINE GUTIERREZ PARRA;CCS;N/A;V-23.194.100;N/A;0412-630.4403;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2024;FRANCIS XIOMARA RODRIGUEZ GUERRA;CCS;N/A;V-14.667.336;N/A;0212-7933035 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2025;MAYCKER FRANCISCO MORALES GRARCES;CCS;N/A;V-10.969.727;N/A;0416-3702609/ 0412-5280642;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2026;EVELYN DIAZ CHIQUIN;CCS;N/A;V-12.749.885;N/A;0412-7298266;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2031;A&G.ARTES  GRAFICAS Y DISEÑOS C.A.;CCS;N/A;J-30937559-8;N/A;0253-6630015;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2033;CARLOS DE SOUSA;CCS;N/A;V-17.980.376;N/A;0212-3640464/ 0412-6388390;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-02-22;
GN2034;JOSE LUIS ODUBER GOMEZ;CCS;N/A;V-17.421.773;N/A;0212-462.9785 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2035;ANTONIO SPAGNOLETTI MANCINI;CCS;N/A;V-8.797.395;N/A;0235-3413115/ 0414-3953169;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2036;JOSE VALENTIN ORFILA BRICEÑO;CCS;N/A;V-16.463.023;N/A;0412-3820700;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2043;HECTOR EDUARDO MUSSA GUERRA;CCS;N/A;V-4.773.813;N/A;0212-2859251/ 0416-6376332;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2048;BENITO GUTIERREZ;CCS;N/A;V-15.063.907;N/A;0412-8005199;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2054;SERGIO LUIS BENAVENTE;CCS;N/A;V-8.566.151;N/A;0235-3423148 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2055;MARISOL MENDOZA;CCS;N/A;V-5.141.076;N/A;0212-862.4765/0412-229.586;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2060;JHOEN QUINTERO;CCS;N/A;V-11.786.201;N/A;0251-2733756- 0416-7517588;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2063;EDGAR LEONARDO BLANCO;CCS;N/A;V-13.827.924;N/A;0416-609.2960/0414-129.019;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2065;RAFAEL ALEJANDRO SOSA SILVA;VLN;N/A;15242972;N/A;0241-8242953/ 04125475019;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2067;DANNY SAMUEL PENAGOS MARTINEZ;CCS;N/A;V-16.972.947;N/A;0212-5522138 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2074;RAUL JOSE CENTENO VASQUEZ;CCS;N/A;V- 13.190.578;N/A;0414-817.61.54;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2086;ANDY JHOAN MONTILLA;CCS;N/A;V-13.290.524;N/A;0212-202.7219;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2088;CARMEN LETICIA HENRIQUEZ;CCS;N/A;V-6.866.857;N/A;0212-442.8836/0416-634.145;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2089;SIFREDO OVIDIO MORA OLIVEROS;CCS;N/A;V-15.487.250;N/A;0212-2775447/ 0416-6204674;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2092;MARIA JOSEGINA LONGA DE SEGARRA;CCS;N/A;V-4.351.387;N/A;0412-9023483;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2098;GABY JESUS BETANCOURT;CCS;N/A;V-14.880.032;N/A;0212-2518498 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2100;JAVIER EDUARDO COLMENARES ROJAS;CCS;N/A;V-11.959.618;N/A;0212-5022288;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2103;ANGEL EDUARDO LOPEZ GONZALEZ;CCS;N/A;V-7.870.244;N/A;0244--8087616/;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2107;OSCAR  ENRIQUE NIÑO ZAVARCE;CCS;N/A;V-14.850.308;N/A;0212-4070235 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2115;CARLOS DANIEL BARROETA MATA;CCS;N/A;V-15.201.718;N/A;0212-5773064;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2016-04-12;
GN2116;CESAR ADOLFO FREITES MANZZETTI;CCS;N/A;V-17.789.470;N/A;0244-386.3257;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2117;DAVID MOISES GUEVARA HERNANDEZ;CCS;N/A;V-16.529.087;N/A;0414-5883422;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2122;JOSE BRESSAN;CCS;N/A;V-6.287.951;N/A;0416-6074722;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2136;JOSE MANUEL HERNANDEZ MUÑOZ;CCS;N/A;V-16.795.516;N/A;0251-625760/ 0412-6857894;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
GN2138;CARLOS LUIS QUEVEDO;CCS;N/A;V-14.337.332;N/A;0414-163.5318/0416-605.783;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
